gpkg_standardized,gpkg,gpkg_n_features,gpkg_xmin,gpkg_ymin,gpkg_xmax,gpkg_ymax
gpkg-standardized/EA_2002-11-18.gpkg,gpkg/EA_2002-11-18.gpkg,363,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-11-25.gpkg,gpkg/EA_2002-11-25.gpkg,403,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-12-01.gpkg,gpkg/EA_2002-12-01.gpkg,394,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-01-01.gpkg,gpkg/EA_2003-01-01.gpkg,288,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-02-01.gpkg,gpkg/EA_2003-02-01.gpkg,271,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-03-01.gpkg,gpkg/EA_2003-03-01.gpkg,264,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-04-01.gpkg,gpkg/EA_2003-04-01.gpkg,261,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-05-01.gpkg,gpkg/EA_2003-05-01.gpkg,281,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-05-15.gpkg,gpkg/EA_2003-05-15.gpkg,300,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-06-01.gpkg,gpkg/EA_2003-06-01.gpkg,352,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-06-15.gpkg,gpkg/EA_2003-06-15.gpkg,355,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-06-23.gpkg,gpkg/EA_2003-06-23.gpkg,366,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-06-30.gpkg,gpkg/EA_2003-06-30.gpkg,352,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-07-07.gpkg,gpkg/EA_2003-07-07.gpkg,356,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-07-14.gpkg,gpkg/EA_2003-07-14.gpkg,378,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-07-21.gpkg,gpkg/EA_2003-07-21.gpkg,357,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
