gpkg,gpkg_n_features,gpkg_xmin,gpkg_ymin,gpkg_xmax,gpkg_ymax,gpkg_size
gpkg/EA_1975-10-15.gpkg,309,-294124.09375,2704501,1856542.625,5028246.5,1179648
gpkg/EA_1975-10-22.gpkg,323,-294124.09375,2704501,1856542.625,5028246.5,1196032
gpkg/EA_1975-10-29.gpkg,325,-294124.09375,2704501,1856542.625,5028246.5,1216512
gpkg/EA_1975-11-05.gpkg,336,-294124.09375,2704501,1856542.625,5028246.5,1220608
gpkg/EA_1975-11-12.gpkg,346,-294124.09375,2704501,1856542.625,5028246.5,1232896
gpkg/EA_1975-11-19.gpkg,341,-294124.09375,2704501,1856542.625,5028246.5,1232896
gpkg/EA_1975-11-26.gpkg,326,-294124.09375,2704501,1856542.625,5028246.5,1216512
gpkg/EA_1975-12-03.gpkg,320,-294124.09375,2704501,1856542.625,5028246.5,1204224
gpkg/EA_1976-06-16.gpkg,338,-294124.09375,2704501,1856542.625,5028246.5,1277952
gpkg/EA_1976-06-23.gpkg,289,-294124.09375,2704501,1856542.625,5028246.5,1204224
gpkg/EA_1976-06-30.gpkg,255,-294124.09375,2704501,1856542.625,5028246.5,1150976
gpkg/EA_1976-07-07.gpkg,276,-294124.09375,2704501,1856542.625,5028246.5,1171456
gpkg/EA_1976-07-14.gpkg,335,-294124.09375,2704501,1856542.625,5028246.5,1261568
gpkg/EA_1976-07-21.gpkg,292,-294124.09375,2704501,1856542.625,5028246.5,1191936
gpkg/EA_1976-07-28.gpkg,345,-294124.09375,2704501,1856542.625,5028246.5,1286144
gpkg/EA_1976-08-04.gpkg,305,-294124.09375,2704501,1856542.625,5028246.5,1212416
gpkg/EA_1976-08-11.gpkg,316,-294124.09375,2704501,1856542.625,5028246.5,1208320
gpkg/EA_1976-08-18.gpkg,344,-294124.09375,2704501,1856542.625,5028246.5,1257472
gpkg/EA_1976-08-25.gpkg,299,-294124.09375,2704501,1856542.625,5028246.5,1175552
gpkg/EA_1976-09-01.gpkg,286,-294124.09375,2704501,1856542.625,5028246.5,1167360
gpkg/EA_1976-09-08.gpkg,312,-294124.09375,2704501,1856542.625,5028246.5,1204224
gpkg/EA_1976-09-15.gpkg,257,-294124.09375,2704501,1856542.625,5028246.5,1146880
gpkg/EA_1976-09-22.gpkg,284,-294124.09375,2704501,1856542.625,5028246.5,1163264
gpkg/EA_1976-09-29.gpkg,269,-294124.09375,2704501,1856542.625,5028246.5,1146880
gpkg/EA_1976-10-06.gpkg,354,-294124.09375,2704501,1856542.625,5028246.5,1257472
gpkg/EA_1976-10-13.gpkg,323,-294124.09375,2704501,1856542.625,5028246.5,1224704
gpkg/EA_1976-10-20.gpkg,295,-294124.09375,2704501,1856542.625,5028246.5,1179648
gpkg/EA_1976-10-27.gpkg,292,-294124.09375,2704501,1856542.625,5028246.5,1163264
gpkg/EA_1976-11-03.gpkg,323,-294124.09375,2704501,1856542.625,5028246.5,1191936
gpkg/EA_1976-11-10.gpkg,323,-294124.09375,2704501,1856542.625,5028246.5,1200128
gpkg/EA_1976-11-17.gpkg,316,-294124.09375,2704501,1856542.625,5028246.5,1196032
gpkg/EA_1976-11-24.gpkg,314,-294124.09375,2704501,1856542.625,5028246.5,1191936
gpkg/EA_1976-12-01.gpkg,339,-294124.09375,2704501,1856542.625,5028246.5,1208320
gpkg/EA_1977-06-08.gpkg,274,-294124.09375,2704501,1856542.625,5028246.5,1175552
gpkg/EA_1977-06-15.gpkg,263,-294124.09375,2704501,1856542.625,5028246.5,1150976
gpkg/EA_1977-06-22.gpkg,295,-294124.09375,2704501,1856542.625,5028246.5,1183744
gpkg/EA_1977-06-29.gpkg,287,-294124.09375,2704501,1856542.625,5028246.5,1196032
gpkg/EA_1977-07-06.gpkg,290,-294124.09375,2704501,1856542.625,5028246.5,1187840
gpkg/EA_1977-07-13.gpkg,299,-294124.09375,2704501,1856542.625,5028246.5,1196032
gpkg/EA_1977-07-20.gpkg,331,-294124.09375,2704501,1856542.625,5028246.5,1204224
gpkg/EA_1977-07-27.gpkg,379,-294124.09375,2704501,1856542.625,5028246.5,1236992
gpkg/EA_1977-08-03.gpkg,337,-294124.09375,2704501,1856542.625,5028246.5,1191936
gpkg/EA_1977-08-10.gpkg,295,-294124.09375,2704501,1856542.625,5028246.5,1171456
gpkg/EA_1977-08-17.gpkg,320,-294124.09375,2704501,1856542.625,5028246.5,1191936
gpkg/EA_1977-08-24.gpkg,279,-294124.09375,2704501,1856542.625,5028246.5,1155072
gpkg/EA_1977-08-31.gpkg,251,-294124.09375,2704501,1856542.625,5028246.5,1146880
gpkg/EA_1977-09-07.gpkg,261,-294124.09375,2704501,1856542.625,5028246.5,1159168
gpkg/EA_1977-09-14.gpkg,241,-294124.09375,2704501,1856542.625,5028246.5,1110016
gpkg/EA_1977-09-21.gpkg,246,-294124.09375,2704501,1856542.625,5028246.5,1122304
gpkg/EA_1977-09-28.gpkg,215,-294124.09375,2704501,1856542.625,5028246.5,1097728
gpkg/EA_1977-10-05.gpkg,212,-294124.09375,2704501,1856542.625,5028246.5,1081344
gpkg/EA_1977-10-12.gpkg,202,-294124.09375,2704501,1856542.625,5028246.5,1089536
gpkg/EA_1977-10-19.gpkg,227,-294124.09375,2704501,1856542.625,5028246.5,1110016
gpkg/EA_1977-10-26.gpkg,272,-294124.09375,2704501,1856542.625,5028246.5,1163264
gpkg/EA_1977-11-02.gpkg,252,-294124.09375,2704501,1856542.625,5028246.5,1187840
gpkg/EA_1977-11-09.gpkg,292,-294124.09375,2704501,1856542.625,5028246.5,1204224
gpkg/EA_1977-11-16.gpkg,310,-294124.09375,2704501,1856542.625,5028246.5,1183744
gpkg/EA_1977-11-23.gpkg,284,-294124.09375,2704501,1856542.625,5028246.5,1183744
gpkg/EA_1977-11-30.gpkg,322,-294124.09375,2704501,1856542.625,5028246.5,1191936
gpkg/EA_1977-12-07.gpkg,300,-294124.09375,2704501,1856542.625,5028246.5,1191936
gpkg/EA_1978-05-30.gpkg,228,-294124.09375,2704501,1856542.625,5028246.5,1175552
gpkg/EA_1978-06-06.gpkg,228,-294124.09375,2704501,1856542.625,5028246.5,1138688
gpkg/EA_1978-06-13.gpkg,240,-294124.3125,2704501,1856542.375,5028247,1163264
gpkg/EA_1978-06-20.gpkg,245,-294124.09375,2704501,1856542.625,5028246.5,1179648
gpkg/EA_1978-06-27.gpkg,243,-294124.09375,2704501,1856542.625,5028246.5,1187840
gpkg/EA_1978-07-04.gpkg,274,-294124.09375,2704501,1856542.625,5028246.5,1220608
gpkg/EA_1978-07-11.gpkg,282,-294124.09375,2704501,1856542.625,5028246.5,1191936
gpkg/EA_1978-07-18.gpkg,345,-294124.09375,2704501,1856542.625,5028246.5,1294336
gpkg/EA_1978-07-25.gpkg,302,-294124.09375,2704501,1856542.625,5028246.5,1220608
gpkg/EA_1978-08-01.gpkg,252,-294124.09375,2704501,1856542.625,5028246.5,1159168
gpkg/EA_1978-08-08.gpkg,372,-294124.09375,2704501,1856542.625,5028246.5,1302528
gpkg/EA_1978-08-15.gpkg,368,-294124.09375,2704501,1856542.625,5028246.5,1306624
gpkg/EA_1978-08-22.gpkg,350,-294124.09375,2704501,1856542.625,5028246.5,1294336
gpkg/EA_1978-08-29.gpkg,355,-294124.09375,2704501,1856542.625,5028246.5,1323008
gpkg/EA_1978-09-05.gpkg,294,-294124.09375,2704501,1856542.625,5028246.5,1232896
gpkg/EA_1978-09-12.gpkg,324,-294124.09375,2704501,1856542.625,5028246.5,1298432
gpkg/EA_1978-09-19.gpkg,330,-294124.09375,2704501,1856542.625,5028246.5,1290240
gpkg/EA_1978-09-26.gpkg,336,-294124.09375,2704501,1856542.625,5028246.5,1290240
gpkg/EA_1978-10-03.gpkg,357,-294124.09375,2704501,1856542.625,5028246.5,1286144
gpkg/EA_1978-10-10.gpkg,350,-294124.09375,2704501,1856542.625,5028246.5,1294336
gpkg/EA_1978-10-17.gpkg,422,-294124.09375,2704501,1856542.625,5028246.5,1323008
gpkg/EA_1978-10-24.gpkg,336,-294124.09375,2704501,1856542.625,5028246.5,1224704
gpkg/EA_1978-10-31.gpkg,285,-294124.09375,2704501,1856542.625,5028246.5,1220608
gpkg/EA_1978-11-07.gpkg,301,-294124.09375,2704501,1856542.625,5028246.5,1241088
gpkg/EA_1978-11-14.gpkg,292,-294124.09375,2704501,1856542.625,5028246.5,1245184
gpkg/EA_1978-11-21.gpkg,318,-294124.09375,2704501,1856542.625,5028246.5,1290240
gpkg/EA_1978-11-28.gpkg,284,-294124.09375,2704501,1856542.625,5028246.5,1208320
gpkg/EA_1978-12-05.gpkg,256,-294124.09375,2704501,1856542.625,5028246.5,1191936
gpkg/EA_1979-06-05.gpkg,258,-294124.09375,2704501,1856542.625,5028246.5,1310720
gpkg/EA_1979-06-12.gpkg,274,-294124.09375,2704501,1856542.625,5028246.5,1302528
gpkg/EA_1979-06-19.gpkg,267,-294124.09375,2704501,1856542.625,5028246.5,1294336
gpkg/EA_1979-06-26.gpkg,263,-294124.09375,2704501,1856542.625,5028246.5,1273856
gpkg/EA_1979-07-03.gpkg,279,-294124.09375,2704501,1856542.625,5028246.5,1306624
gpkg/EA_1979-07-10.gpkg,283,-294124.09375,2704501,1856542.625,5028246.5,1286144
gpkg/EA_1979-07-17.gpkg,283,-294124.09375,2704501,1856542.625,5028246.5,1302528
gpkg/EA_1979-07-24.gpkg,311,-294124.09375,2704501,1856542.625,5028246.5,1380352
gpkg/EA_1979-07-31.gpkg,346,-294124.09375,2704501,1856542.625,5028246.5,1343488
gpkg/EA_1979-08-07.gpkg,349,-294124.09375,2704501,1856542.625,5028246.5,1400832
gpkg/EA_1979-08-14.gpkg,337,-294124.09375,2704501,1856542.625,5028246.5,1392640
gpkg/EA_1979-08-21.gpkg,363,-294124.09375,2704501,1856542.625,5028246.5,1388544
gpkg/EA_1979-08-28.gpkg,322,-294124.09375,2704501,1856542.625,5028246.5,1363968
gpkg/EA_1979-09-04.gpkg,301,-294124.09375,2704501,1856542.625,5028246.5,1323008
gpkg/EA_1979-09-11.gpkg,288,-294124.09375,2704501,1856542.625,5028246.5,1310720
gpkg/EA_1979-09-18.gpkg,272,-294124.09375,2704501,1856542.625,5028246.5,1216512
gpkg/EA_1979-09-25.gpkg,300,-294124.09375,2704501,1856542.625,5028246.5,1269760
gpkg/EA_1979-10-02.gpkg,315,-294124.09375,2704501,1856542.625,5028246.5,1269760
gpkg/EA_1979-10-09.gpkg,368,-294124.09375,2704501,1856542.625,5028246.5,1384448
gpkg/EA_1979-10-16.gpkg,321,-294124.09375,2704501,1856542.625,5028246.5,1286144
gpkg/EA_1979-10-23.gpkg,340,-294124.09375,2704501,1856542.625,5028246.5,1335296
gpkg/EA_1979-10-30.gpkg,359,-294124.09375,2704501,1856542.625,5028246.5,1298432
gpkg/EA_1979-11-06.gpkg,352,-294124.09375,2704501,1856542.625,5028246.5,1277952
gpkg/EA_1979-11-13.gpkg,335,-294124.09375,2704501,1856542.625,5028246.5,1269760
gpkg/EA_1979-11-20.gpkg,354,-294124.09375,2704501,1856542.625,5028246.5,1253376
gpkg/EA_1979-11-27.gpkg,357,-294124.09375,2704501,1856542.625,5028246.5,1269760
gpkg/EA_1979-12-04.gpkg,347,-294124.09375,2704501,1856542.625,5028246.5,1261568
gpkg/EA_1979-12-11.gpkg,354,-294124.09375,2704501,1856542.625,5028246.5,1261568
gpkg/EA_1979-12-31.gpkg,301,-294124.09375,2704501,1856542.625,5028246.5,1220608
gpkg/EA_1980-01-31.gpkg,309,-294124.09375,2704501,1856542.625,5028246.5,1265664
gpkg/EA_1980-02-29.gpkg,295,-294124.09375,2704501,1856542.625,5028246.5,1257472
gpkg/EA_1980-03-31.gpkg,299,-294124.09375,2704501,1856542.625,5028246.5,1286144
gpkg/EA_1980-04-30.gpkg,308,-294124.09375,2704501,1856542.625,5028246.5,1241088
gpkg/EA_1980-05-15.gpkg,315,-294124.09375,2704501,1856542.625,5028246.5,1314816
gpkg/EA_1980-06-01.gpkg,233,-294124.09375,2704501,1856542.625,5028246.5,1183744
gpkg/EA_1980-06-10.gpkg,293,-294124.09375,2704501,1856542.625,5028246.5,1261568
gpkg/EA_1980-06-17.gpkg,316,-294124.09375,2704501,1856542.625,5028246.5,1269760
gpkg/EA_1980-06-24.gpkg,321,-294124.09375,2704501,1856542.625,5028246.5,1290240
gpkg/EA_1980-07-01.gpkg,288,-294124.09375,2704501,1856542.625,5028246.5,1257472
gpkg/EA_1980-07-08.gpkg,306,-294124.09375,2704501,1856542.625,5028246.5,1323008
gpkg/EA_1980-07-15.gpkg,323,-294124.09375,2704501,1856542.625,5028246.5,1286144
gpkg/EA_1980-07-22.gpkg,352,-294124.09375,2704501,1856542.625,5028246.5,1302528
gpkg/EA_1980-07-29.gpkg,296,-294124.09375,2704501,1856542.625,5028246.5,1273856
gpkg/EA_1980-08-05.gpkg,300,-294124.09375,2704501,1856542.625,5028246.5,1269760
gpkg/EA_1980-08-12.gpkg,324,-294124.09375,2704501,1856542.625,5028246.5,1290240
gpkg/EA_1980-08-19.gpkg,290,-294124.09375,2704501,1856542.625,5028246.5,1257472
gpkg/EA_1980-08-26.gpkg,249,-294124.09375,2704501,1856542.625,5028246.5,1183744
gpkg/EA_1980-09-02.gpkg,246,-294124.09375,2704501,1856542.625,5028246.5,1150976
gpkg/EA_1980-09-09.gpkg,233,-294124.09375,2704501,1856542.625,5028246.5,1134592
